flow_id,policy_id,claim_id,flow_type,payment_method,flow_status,transaction_date,processing_date,amount,processed_amount,currency,customer_document,bank_name,city,state,created_at
FLOW-0000000001,POL-00000126,CLM-00000229,CANCELLATION,BANK_SLIP,FAILED,2025-06-19,2025-06-24,2827.71,0.0,BRL,569.407.328-29,Vargas S.A.,Araújo de Andrade,RR,2026-05-25 01:16:38
FLOW-0000000002,POL-00000303,CLM-00000433,CANCELLATION,PIX,PENDING,2025-10-27,2025-11-01,2607.25,2607.25,BRL,582.431.679-19,Câmara,Novaes da Prata,MA,2026-05-25 01:16:38
FLOW-0000000003,POL-00000288,CLM-00000204,CLAIM_PAYMENT,BANK_TRANSFER,PENDING,2025-04-22,2025-04-22,2387.7,2387.7,BRL,810.752.649-01,Dias,Sousa de da Mota,PA,2026-05-25 01:16:38
FLOW-0000000004,POL-00000415,CLM-00000891,REINSURANCE,PIX,FAILED,2025-12-07,2025-12-10,5549.99,0.0,BRL,390.671.285-03,da Mota,da Conceição,RJ,2026-05-25 01:16:38
FLOW-0000000005,POL-00000080,CLM-00000221,COMMISSION,CREDIT_CARD,FAILED,2024-05-31,2024-06-01,17468.58,0.0,BRL,032.876.951-77,Fogaça,Sales do Amparo,SC,2026-05-25 01:16:38
FLOW-0000000006,POL-00000434,CLM-00000353,PREMIUM_PAYMENT,BANK_TRANSFER,FAILED,2025-10-03,2025-10-03,2364.01,0.0,BRL,654.031.729-80,da Costa,Ferreira,PR,2026-05-25 01:16:38
FLOW-0000000007,POL-00000275,CLM-00000128,CANCELLATION,DEBIT,CANCELLED,2025-09-26,2025-09-28,20187.85,20187.85,BRL,059.182.746-85,Camargo,Azevedo,RJ,2026-05-25 01:16:38
FLOW-0000000008,POL-00000296,CLM-00000197,CANCELLATION,PIX,FAILED,2025-07-21,2025-07-21,13823.41,0.0,BRL,986.520.374-00,da Rosa Moreira Ltda.,Melo dos Dourados,MS,2026-05-25 01:16:38
FLOW-0000000009,POL-00000438,CLM-00000239,COMMISSION,PIX,PENDING,2026-04-02,2026-04-02,16548.52,16548.52,BRL,467.185.239-09,Cavalcanti,Guerra,GO,2026-05-25 01:16:38
FLOW-0000000010,POL-00000084,CLM-00000380,CANCELLATION,CREDIT_CARD,FAILED,2026-03-05,2026-03-08,6985.44,0.0,BRL,187.536.920-12,Araújo e Filhos,Leão do Oeste,SP,2026-05-25 01:16:38
